Lname,Fname,Alias,Gender,Age,Color,Day,Month,Year,City,County,State,Children,Literate,Armed,Transportation,Enslaver,Reward,Long,Lat
Cale,Mary,Jane Johnson,F,16,null,15,Nov,1854,Baltimore,Baltimore,MD,X,null,null,null,null,null,-76.60926,39.29058
Smith,Nathaniel,John Hutchins,M,24,null,15,Nov,1854,Baltimore,Baltimore,MD,null,null,null,null,null,null,-76.60926,39.29058
Davis,John,Adams,M,null,null,14,Sept,1854,Baltimore,Baltimore,MD,null,null,null,null,null,null,-76.60926,39.29058
Hooper,Henry,null,M,19,null,6,Dec,1855,null,null,MD,null,null,null,null,null,null,0,0
Curtis,Mary,null,F,19,B,10,Dec,1855,Baltimore,Baltimore,MD,null,null,null,null,null,null,-76.60926,39.29058
Cornish,Henrietta,null,F,null,null,11,Dec,1855,Eastern Shore,null,MD,null,null,null,null,null,null,-80.1356,25.9337
Cornish,Delia,null,F,null,null,11,Dec,1855,Eastern Shore,null,MD,null,null,null,null,null,null,-80.1356,25.9337
Jones,Fenton,null,M,null,null,10,Dec,1855,Frederick,Frederick,MD,null,null,null,null,null,null,-77.41203,39.41574
Unidentified,null,null,M,null,null,10,Dec,1855,Chestertown,Kent,MD,null,null,null,Horse & Wagon,null,null,-76.06615,39.2131
Unidentified,null,null,M,null,null,10,Dec,1855,Chestertown,Kent,MD,null,null,null,Horse & Wagon,null,null,-76.06615,39.2131
Jones,Henry,null,M,19,null,12,Nov,1855,null,null,MD,null,null,null,null,null,null,0,0
Robinson,Mary Ann,null,F,19,null,1,Jan,1855,"Black Bird, Newcastle",null,MD,null,null,null,null,null,null,-75.66061,39.37056
Shepherd,Anna Maria,null,F,null,null,8,Nov,1855,Chestertown,Kent,MD,X,null,null,Horse & Carriage,null,null,-76.06615,39.2131
Shepherd,Edwin,null,M,null,null,8,Nov,1855,Chestertown,Kent,MD,X,null,null,Horse & Carriage,null,null,-76.06615,39.2131
Shepherd,Eliza Jane,null,F,null,null,8,Nov,1855,Chestertown,Kent,MD,X,null,null,Horse & Carriage,null,null,-76.06615,39.2131
Shepherd,Harriet,null,F,null,null,8,Nov,1855,Chestertown,Kent,MD,null,null,null,Horse & Carriage,null,null,-76.06615,39.2131
Shepherd,John Henry,null,M,null,null,8,Nov,1855,Chestertown,Kent,MD,X,null,null,Horse & Carriage,null,null,-76.06615,39.2131
Scott,Samuel,null,M,null,null,null,Dec,1855,Cecil Cross Roads,null,MD,null,null,null,null,null,null,-75.86744,39.404
Clark,Emily,null,F,null,null,1,Oct,1855,null,null,MD,null,null,null,null,null,null,0,0
Freeman,Mary Jane,null,F,null,null,1,Oct,1855,null,null,MD,null,null,null,null,null,null,0,0
Williams,John,null,M,25,null,6,Oct,1855,null,null,MD,null,null,null,null,null,null,0,0
Unidentified,null,null,null,null,null,null,Apr,1856,null,null,MD,null,null,null,null,null,null,0,0
Unidentified,null,null,null,null,null,null,Apr,1856,null,null,MD,null,null,null,null,null,null,0,0
Unidentified,null,null,null,null,null,null,Apr,1856,null,null,MD,null,null,null,null,null,null,0,0
Shepherd,Mary Ann,null,F,null,null,8,Nov,1855,Chestertown,Kent,MD,X,null,null,Horse & Carriage,null,null,-76.06615,39.2131
Unidentified,null,null,null,null,null,null,Apr,1856,null,null,MD,null,null,null,null,null,null,0,0
Jones,Margaret,null,F,null,null,31,Oct,1855,Baltimore,Baltimore,MD,null,null,null,null,null,null,-76.60926,39.29058
Graves,Caroline,Julia Little,F,40,null,16,Jan,1856,null,null,MD,null,X,null,null,null,null,0,0
Anderson,George,null,M,null,null,null,Jul,1856,Elkton,Cecil,MD,null,null,null,Schooner,null,null,-75.83041,39.60923
Bell,Anna,null,F,null,null,12,Jun,1856,null,null,MD,null,null,null,null,null,null,0,0
Taylor,null,null,null,null,null,null,Mar,1856,Haggerstown,Washington,MD,X,null,null,Horse & Carriage,null,null,-77.71758,39.6425
Taylor,Edward,null,M,null,null,null,Mar,1856,Haggerstown,Washington,MD,X,null,null,Horse & Carriage,null,null,-77.71758,39.6425
Taylor,null,null,null,null,null,null,Mar,1856,Haggerstown,Washington,MD,X,null,null,Horse & Carriage,null,null,-77.71758,39.6425
Taylor,null,null,F,null,null,null,Mar,1856,Haggerstown,Washington,MD,null,null,null,Horse & Carriage,null,null,-77.71758,39.6425
Slcum,Jesse,null,M,24,null,16,May,1856,null,Dorchester,MD,null,null,null,null,null,null,0,0
Tubman,Harriet,null,F,null,null,null,May,1856,null,null,MD,null,null,null,null,null,null,0,0
Unidentified,null,null,M,null,null,13,May,1856,null,null,MD,null,null,null,null,null,null,0,0
Taylor,Mary Ann,null,F,null,null,null,Mar,1856,Haggerstown,Washington,MD,null,null,null,Horse & Carriage,null,null,-77.71758,39.6425
Unidentified,null,null,M,null,null,13,May,1856,null,null,MD,null,null,null,null,null,null,0,0
Unidentified,null,null,M,null,null,13,May,1856,null,null,MD,null,null,null,null,null,null,0,0
Unidentified,null,null,M,null,null,13,May,1856,null,null,MD,null,null,null,null,null,null,0,0
Nokey,Eliza,null,F,null,null,15,Nov,1856,Easton,Talbot,MD,null,null,null,null,null,null,-76.07475,38.7739
Predo,Henry,null,M,27,B,null,Mar,1857,Bucktown,Dorchester,MD,null,null,null,Foot,null,3000,-76.05248,38.45695
null,William,null,M,25,B,17,Oct,1857,Cambridge,Dorchester,MD,null,null,null,Foot,null,null,-76.07806,38.56312
Amby,Lizzy,null,F,28,B,17,Oct,1857,Cambridge,Dorchester,MD,null,null,null,Foot,null,300 in state,-76.07806,38.56312
Anthony,Adam,null,M,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,null,null,-76.07806,38.56312
Anthony,Kit,null,M,23,null,24,Oct,1857,Cambridge,Dorchester,MD,null,X,X,Foot,null,null,-76.07806,38.56312
Anthony,Leah,null,F,28,null,24,Oct,1857,Cambridge,Dorchester,MD,null,null,X,Foot,null,null,-76.07806,38.56312
Peaker,Thomas,null,M,null,null,14,May,1856,Georget'n Crossroads,Kent,MD,null,null,null,null,null,null,-88.71499,30.8856
Anthony,Mary Ellen,null,F,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,null,null,-76.07806,38.56312
Saunders,Henry,null,M,null,null,14,May,1856,Georget'n Crossroads,Kent,MD,null,null,null,null,null,null,-88.71499,30.8856
Anthony,Murray,null,M,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,null,null,-76.07806,38.56312
Dutton,Marshall,null,M,null,null,24,Oct,1857,Cambridge,Dorchester,MD,null,null,null,null,null,null,-76.07806,38.56312
Hill,null,null,F,null,null,24,Oct,1857,Cambridge,Dorchester,MD,null,null,null,Foot,null,null,-76.07806,38.56312
Dobson,Henrietta,null,F,null,null,17,Oct,1857,Cambridge,Dorchester,MD,null,null,null,Foot,null,null,-76.07806,38.56312
Hill,Alice,null,F,null,M,24,Oct,1857,Cambridge,Dorchester,MD,null,null,null,Foot,null,null,-76.07806,38.56312
Hill,Henry,null,M,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,null,null,-76.07806,38.56312
Hill,Joe,null,M,null,B,24,Oct,1857,Cambridge,Dorchester,MD,null,null,X,Foot,null,1000 in state/2000 out,-76.07806,38.56312
Light,George,null,M,null,null,24,Oct,1857,Cambridge,Dorchester,MD,null,null,null,Foot,null,null,-76.07806,38.56312
Peters,Hannah,null,F,null,null,17,Oct,1857,Cambridge,Dorchester,MD,null,null,null,Foot,null,null,-76.07806,38.56312
Scott,John,null,M,null,null,17,Oct,1857,Cambridge,Dorchester,MD,null,null,null,Foot,null,null,-76.07806,38.56312
Viney,null,null,M,9 mos,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,null,null,-76.07806,38.56312
Viney,null,null,M,8,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,null,null,-76.07806,38.56312
Stephenson,Mary,null,F,20,B,null,null,1857,null,Caroline,MD,null,null,null,null,null,null,0,0
Viney,null,null,M,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,null,null,-76.07806,38.56312
Perry,Anna,null,F,19,B,null,null,1857,Hoopesville,Dorchester,MD,null,null,null,null,null,null,-76.18293,38.26493
Viney,null,null,F,null,null,24,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,null,null,-76.07806,38.56312
Christy,Jack,null,M,null,null,null,null,1858,Belleair,Harford,MD,null,null,null,null,null,null,-76.1719,39.22261
Archer,Sam,null,M,30,null,null,null,1860,Belleiar,Harford,MD,null,null,null,null,null,null,-82.80373,27.93516
Woofley,Lavina,null,F,null,null,null,null,1857,Cambridge,Dorchester,MD,null,null,null,Foot,null,null,-76.07806,38.56312
Quinn,William,null,M,22,B,null,null,1859,Tapps' Neck,null,MD,null,null,null,null,null,null,0,0
Burkett,Elizabeth,null,F,null,null,null,null,1860,Kunkletown,Worcester,MD,null,null,null,Boat,null,null,-75.44676,40.84827
Purnell,John,null,M,null,null,null,null,1860,Kunkletown,Worcester,MD,null,null,null,Boat,null,null,-75.44676,40.84827
Burkett,Henry,null,M,null,null,null,null,1860,Kunkletown,Worcester,MD,null,null,null,Boat,null,null,-75.44676,40.84827
Burton,Hale,null,M,null,null,null,null,1860,Kunkletown,Worcester,MD,null,null,null,Boat,null,null,-75.44676,40.84827
Unidentified,null,null,null,null,null,null,null,1860,null,Frederick,MD,null,null,null,null,null,null,0,0
Unidentified,null,null,null,null,null,null,null,1860,null,Frederick,MD,null,null,null,null,null,null,0,0
Sipple,Mary Ann,null,F,null,null,null,null,1860,Kunkletown,Worcester,MD,null,null,null,Boat,null,null,-75.44676,40.84827
Sipple,Thomas,null,M,null,null,null,null,1860,Kunkletown,Worcester,MD,null,null,null,Boat,null,null,-75.44676,40.84827
Unidentified,null,null,null,null,null,null,null,1860,null,Frederick,MD,null,null,null,null,null,null,0,0
Unidentified,null,null,null,null,null,null,null,1860,null,Frederick,MD,null,null,null,null,null,null,0,0
Ringgold,Charles,null,M,19,null,null,null,null,Perrymanville,Cecil,MD,null,null,null,null,null,null,-76.2044,39.46955
Ellis,Mary,Mary Jones,F,null,null,6,Oct,1853,null,null,NC,null,null,null,null,null,null,0,0
Thomas,Joseph,null,M,null,null,null,null,null,null,Prince Georges,MD,null,null,null,null,null,null,0,0
Ellis,William,John Jones,M,null,null,6,Oct,1853,null,null,NC,null,null,null,null,null,null,0,0
Spence,Arthur,null,M,24,null,23,Mar,1856,null,null,NC,null,null,null,Schooner,null,null,0,0
Brown,Louisa,null,F,16,M,null,null,null,Baltimore,Baltimore,MD,X,null,null,Foot,null,null,-76.60926,39.29058
Gorham,Henry,null,M,34,B,null,Nov,1856,null,null,NC,null,null,null,Schooner,null,null,0,0
Anderson,Henry,William Anderson,M,25,B,null,null,null,Beaufort,Carteret,NC,null,null,null,Foot,null,null,-76.66004,34.7192
Monroe,James,null,M,null,null,21,Jul,1856,South End,Camden,NC,null,null,null,Schooner,null,null,-93.26211,31.12963
Shepherd,Andrew,null,M,26,null,null,Nov,1856,South End,Camden,NC,null,null,null,Schooner,null,null,-93.26211,31.12963
Foster,Henry,null,M,null,null,27,Jul,1853,Richmond,Henrico,VA,null,null,null,null,null,null,-77.43367,37.54068
Burrell,James,W. Boural,M,32,M,11,Mar,1853,Williamsburg,James City,VA,null,null,null,null,null,null,-76.71029,37.27569
Briston,John,Charles Steward,M,34,null,25,Oct,1853,Richmond,Henrico,VA,null,null,null,null,null,null,-77.43367,37.54068
Atkins,William Henry,null,M,28,M,23,Apr,1854,Richmond,Henrico,VA,null,X,null,Steamer,null,null,-77.43367,37.54068
Johnson,Sarah,null,F,null,null,19,Jun,1854,Norfolk,Norfolk,VA,null,null,null,null,null,null,-76.28514,36.84686
Unidentified,null,null,M,7,null,1,Dec,1854,Richmond,Henrico,VA,X,null,null,Steamer,null,null,-77.43367,37.54068
Hodges,Henry,null,M,25,null,1,Aug,1855,Norfolk,Norfolk,VA,null,null,null,null,null,null,-76.28514,36.84686
Hill,Simon,null,M,25,B,29,Aug,1855,null,null,VA,null,null,null,null,null,null,0,0
Clayton,Levinia,null,F,null,null,12,Jun,1854,Petersburg,Dinwiddle,VA,null,null,null,null,null,null,-77.40348,37.22815
Payne,David,null,M,null,null,24,May,1854,Richmond,Henrico,VA,null,null,null,null,null,null,-77.43367,37.54068
"Hall, Jr.",Joseph,null,M,null,null,null,Jan,1855,Norfolk,Norfolk,VA,null,null,null,null,null,null,-76.28514,36.84686
Bohm,Henry,null,M,25,null,30,Jul,1855,Norlf,Norfolk,VA,null,null,null,null,null,null,0,0
Thomas,William,null,M,null,null,22,Jun,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Baker,Henry,Charles Lightfoot,M,null,null,13,Mar,1855,Norfolk,Norfolk,VA,null,null,null,null,null,null,-76.28514,36.84686
Jenkins,null,null,null,35,null,13,Mar,1855,Norfolk,Norfolk,VA,null,null,null,null,null,null,-76.28514,36.84686
Brown,John,null,M,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Foster,James,null,M,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Freeman,Thomas,null,M,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Gardener,Nathaniel,null,M,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Gault,Phyllis,null,F,30,M,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Haines,Francis,null,M,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Anderson,James,null,M,7,null,17,Jan,1855,Petersburg,Dinwiddie,VA,X,null,null,null,null,null,-77.40348,37.22815
Johnson,David,null,M,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Jones,Alice,null,F,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Munson,Alexander,Samuel Garrett,M,18,B,null,Dec,1855,Martinsburg,Henry,VA,null,null,null,null,null,null,-77.96477,39.45641
Little,Nancy,null,F,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Scott,Godfrey,null,M,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Smith,John,null,M,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Teamour,Thomas,null,M,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Vaughn,Michael,William Brown,M,31,B,20,Nov,1855,Norfolk,Norfolk,VA,null,X,null,Schooner,null,null,-76.28514,36.84686
Wilson,Ned,null,M,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Wilson,Sarah E.,null,F,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Wilson,Willis,null,M,null,null,20,Nov,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Edwards,William,null,M,22,null,31,Oct,1855,Alexandria,Fairfax,VA,null,null,null,null,null,null,-77.04341,38.8046
Graham,Jane,Eliza Washington,F,24,null,16,Jan,1856,Alexandria,Fairfax,VA,null,null,null,Foot,null,null,-77.04341,38.8046
Bird,Mary,null,F,null,null,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Hill,Hezekiah,null,M,30,null,1,Dec,1856,Petersburg,Dinwiddle,VA,null,null,null,Steamer,null,null,-77.40348,37.22815
Cooper,Thomas,null,M,null,null,null,Jul,1856,Portsmouth,Norfolk,VA,null,null,null,null,null,null,-76.29771,36.83273
Gray,Henry,null,M,12,M,4,Jul,1856,Portsmouth,Norfolk,VA,X,null,null,Schooner,null,null,-76.29771,36.83273
Gray,Mary,null,F,14,M,4,Jul,1856,Portsmouth,Norfolk,VA,X,null,null,Schooner,null,null,-76.29771,36.83273
Gray,Sophia,null,F,33,M,4,Jul,1856,Portsmouth,Norfolk,VA,null,null,null,Schooner,null,null,-76.29771,36.83273
Knight,Mary,null,F,26,B,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
null,Isaiah,null,M,null,null,7,Sept,1855,Tanner's Creek,Norfolk,VA,null,null,null,Skiff,null,null,-76.25022,36.91737
Lewey,Rebecca,null,F,28,null,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Anderson,Jonas,null,M,null,null,7,Sept,1855,Tanner's Creek,Norfolk,VA,null,null,null,null,null,null,-76.25022,36.91737
Taylor,Harriet,null,F,null,null,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Walker,null,null,F,38,null,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,null,null,-76.28514,36.84686
Thompson,Charles,null,M,null,null,null,Jul,1856,Portsmouth,Norfolk,VA,null,null,null,Schooner,null,null,-76.29771,36.83273
Thompson,Charity,null,F,12,null,null,Jul,1856,Portsmouth,Norfolk,VA,X,null,null,Schooner,null,null,-76.29771,36.83273
Bowser,Nathaniel,null,M,null,null,null,July,1856,Portsmouth,Norfolk,VA,null,null,null,Schooner,null,null,-76.29771,36.83273
Robinson,Isaiah,null,M,23,M,23,Mar,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,null,250,-76.28514,36.84686
Parker,Thomas,null,M,null,null,14,May,1856,Norfolk,Norfolk,VA,null,null,null,null,null,null,-76.28514,36.84686
Thompson,William Henry,null,M,24,B,14,May,1856,Norfolk,Norfolk,VA,null,null,null,null,null,null,-76.28514,36.84686
Unidentified,null,null,F,null,null,31,May,1856,Leesburg,Loudon,VA,null,null,null,Horse & Carriage,null,null,-77.56578,39.1158
Unidentified,null,null,F,10,null,31,May,1856,Leesburg,Loudon,VA,X,null,null,Horse & Carriage,null,null,-77.56578,39.1158
null,Isabella,null,F,null,null,null,Oct,1856,Portsmouth,Norfolk,VA,null,null,null,null,null,null,-76.29771,36.83273
Pugh,Anthony,null,M,null,null,24,Oct,1857,Portsmouth,Norfolk,VA,null,null,null,Skiff,null,null,-76.29771,36.83273
Robinson,Daniel,null,M,null,null,23,Mar,1856,Petersburg,Norfolk,VA,null,null,null,Schooner,null,null,-77.40348,37.22815
Pugh,Isabella,null,F,null,null,24,Oct,1857,Portsmouth,Norfolk,VA,null,null,null,Skiff,null,null,-76.29771,36.83273
Maddison,Wiley,null,M,19,null,null,Nov,1856,Petersburg,Dinwiddle,VA,null,null,null,Schooner,null,null,-77.40348,37.22815
Naylor,William,null,M,null,null,6,June,1857,Richmond,Henrico,VA,null,null,null,Steamer,null,null,-77.43367,37.54068
Derrix,null,null,F,null,null,null,null,1857,Alexandria,Fairfax,VA,null,null,null,null,null,null,-77.04341,38.8046
Bowen,John,null,M,null,null,17,Dec,1853,null,null,null,null,null,null,null,null,null,0,0
Johnson,Helen,null,F,null,null,2,Sept,1853,null,null,null,null,null,null,null,null,null,0,0
Jones,William,null,M,null,null,14,Feb,1854,null,null,null,null,null,null,null,null,null,0,0
Hill,James,null,M,21,null,null,null,1861,Richmond,Henrico,VA,null,null,null,Steamer,null,null,-77.43367,37.54068
Green,Samuel,null,M,null,null,11,Dec,1855,null,null,null,null,null,null,null,null,null,0,0
Unidentified,null,null,M,null,null,1,Nov,1855,null,null,null,null,null,null,null,null,null,0,0
Newton,Isaac,null,M,30,null,null,null,null,Richmond,Henrico,VA,null,null,null,null,null,null,-77.43367,37.54068
Unidentified,null,null,M,null,null,1,Nov,1855,null,null,null,null,null,null,null,null,null,0,0
Unidentified,null,null,F,null,null,1,Nov,1855,null,null,null,null,null,null,null,null,null,0,0
Unidentified,null,null,F,null,null,1,Nov,1855,null,null,null,null,null,null,null,null,null,0,0
Unidentified,null,null,F,null,null,1,Nov,1855,null,null,null,null,null,null,null,null,null,0,0
Jeffries,Mary,null,F,null,null,29,Jan,1856,null,null,null,null,null,null,null,null,null,0,0
Redden,Mary,null,F,null,null,29,Jan,1856,null,null,null,null,null,null,null,null,null,0,0
Redden,Sarah,null,F,null,null,29,Jan,1856,null,null,null,null,null,null,null,null,null,0,0
Cale,null,null,F,null,null,25,Mar,1856,null,null,null,null,null,null,null,null,null,0,0
Cale,David,null,M,null,null,25,Mar,1856,null,null,null,null,null,null,null,null,null,0,0
Cole,null,null,F,null,null,23,Mar,1856,null,null,null,null,null,null,null,null,null,0,0
David,Cole,null,M,null,null,23,Mar,1856,null,null,null,null,null,null,Schooner,null,null,0,0
Page,Thomas,null,M,18,null,23,Mar,1856,null,null,null,null,X,null,Schooner,null,null,0,0
,,,,,,,,,,,,,,,,,,0,0
"The abolitionist William Still organized this data as he aided freedom seekers in Philadelphia. Most records can be found in his 1872 book, The Underground Railroad. Some names are listed in ""Journal C,"" an unpublished manuscript at the Historical Societ","Still's data was later compiled by James A. McGowan and William C. Kashatus and published in William C. Kashatus, William Still: The Underground Railroad and the Angel at Philadelphia (University of Notre Dame Press, 2021).",Data converted to Microsoft Excel Spreadsheet by Public Historian Nick Sacco. Email: pastexplore@gmail.com,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
Henry,James,null,M,32,null,null,null,1857,null,Kent,null,null,null,null,null,null,null,0,0
Turner,Samuel,null,M,null,null,null,null,1857,null,null,null,null,null,null,null,null,null,0,0
Frisley,James Alfred,null,M,24,B,null,null,null,null,null,null,null,null,null,Foot,null,null,0,0
